FuelType,TotalFuelConsumption,NetGeneration
Gas,"26,309","4,766"
Gas,"6,111,084","415,473"
Gas,"9,152,381","1,042,461"
Gas,"1,049,391","121,620"
Gas,"53,104","4,370"
Gas,"236,145","23,945"
Gas,"42,666,100","3,906,706"
Gas,"62,772,146","6,477,103"
Gas,"332,526","25,183"
Gas,0,0
Gas,"1,972,503","71,330"
Gas,0,0
Gas,"8,376,162","723,134"
Gas,"2,550,985","176,963"
Gas,"1,661,511","129,120"
Gas,0,0
Gas,"3,925,678","410,028"
Gas,0,0
Gas,"16,113",575
Gas,"513,810","71,719"
Gas,"24,747,060","2,207,010"
Gas,"52,886,801","4,427,661"
Gas,"246,221","16,237"
Gas,"1,211,338","40,504"
Nuclear,0,"5,664,382"
Nuclear,0,"9,834,564"
Nuclear,0,"8,237,574"
Nuclear,0,"7,998,156"
Gas,"37,694","2,945"
Gas,"3,938,229","213,364"
Gas,"1,675,643","42,655"
Gas,"3,716,281","424,202"
Gas,"1,426,335","254,858"
Gas,"531,873","63,495"
Gas,"9,427","2,574"
Gas,"2,892,465","295,636"
Gas,88,"16,468"
Gas,"347,437","32,782"
Gas,"410,668","12,384"
Gas,0,0
Gas,0,0
Gas,"597,877","45,497"
Gas,"582,720","27,198"
Gas,"127,750",512
Gas,0,0
Gas,"141,014","17,844"
Gas,"4,435,869","145,326"
Other,0,0
Other,0,0
Other,0,0
Other,0,0
Other,0,0
Other,0,0
Petroleum,0,0
Petroleum,"1,126","2,159"
Petroleum,"88,786","201,132"
Petroleum,0,0
Petroleum,"65,280","140,433"
Petroleum,"57,730","133,393"
Petroleum,0,0
Petroleum,"268,330","690,855"
Petroleum,"90,189","217,951"
Petroleum,"77,632","116,781"
Gas,"2,691",562
Petroleum,"8,940","4,518"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,514,236
Petroleum,0,0
Coal,0,0
Solar,0,"1,875"
Solar,0,"9,033"
Solar,0,"18,635"
Solar,0,"62,971"
Solar,0,"63,563"
Solar,0,"59,820"
Solar,0,"62,750"
Solar,0,"58,950"
Solar,0,"131,474"
Solar,0,"139,756"
Solar,0,0
Solar,0,"2,936"
Solar,0,0
Coal,0,0
Other,"6,387","14,502"
Other,"3,946","10,513"
Other,0,"202,694"
Other,0,"25,195"
Other,0,0
Wind,0,"174,000"
Wind,0,"62,996"
Wind,0,"165,445"
Wind,0,"85,019"
Wind,0,"128,525"
Wind,0,"569,260"
Wind,0,"88,805"
Wind,0,"47,713"
Wind,0,"71,112"
Wind,0,"84,206"
Wind,0,"57,407"
Wind,0,"143,839"
Wind,0,"178,346"
Wind,0,"125,240"
Wind,0,"188,706"
Wind,0,"398,735"
